


1_star: A ac; nt
articles_of_confederation: NNP;
artificial_embolism: N nc; treatment
artificial_feeding: N nc; treatment
artificial_heart: N nc; prod tool
artificial_horizon: N nc; tool
artificial_insemination: N nc; treatment
artificial_intelligence: N nc; tech
artificial_joint: N nc; tool
artificial_kidney: N nc; tool
artificial_pacemaker: N nc; tool
artificial_pneumothorax: N nc; treatment
artificial_satellite: N nc; prod
artificial_ventilation: N nc; treatment
artillery_shell: N nc; tool
artillery_unit: N nc; orgHN
arylsulfatase_a: N;
arylsulfatase_b: N;
arylsulfatase_c: N;
as_against: P; /as_opposed_to/
as_between: P; RB time /between/
as_do_i: RB;
as_for: P; about content /about/
as_from: P;
as_if: SC
as_of: P; vtt
as_such: xC; RB idiomPP
as_though: SC
as_to: P; about content /about/
as_with: P; about content /about/
asain_bitch: N nc; curse per
ascending_node: N nc;
ascension_day: NNP;
ascension_of_the_lord: NNP;
asian_american: NNP nc; origin per
aside_from: P; RB expression /besides/
ask_for: VB vc; chgCR take useC
asparagus_bed: N nc;
ass_bitch: N nc; curse
ass_imitator: N nc; curse
assault_rifle: N nc; tool
assembly_line: N nc; tool
assembly_program: N nc; tool
assembly_tech: N nc; job
assertive_training: N nc; treatment
asset_management: N nc; comHN
assoc_director: N nc; job
assoc_prof: N nc; job
associate_editor: N nc; job
associate_in_applied_science: NNP;
associate_in_arts: NNP;
associate_in_nursing: NNP;
associate_inspector: N nc; job
associate_manager: N nc; job
associated_state: N nc;
asst_prof: N nc; job
assumption_of_mary: NNP;
astatic_coils: N nc; tool
astatic_galvanometer: N nc; tool
asteroid_belt: N nc;
astringent_drug: N nc; prod
astronomical_unit: N nc unit;
astronomy_unit: N nc unit;
at_bat: A NN ac nc; event idiomPP pred
at_bay: A ac; idiomPP pred
at_best: ; RB expression idiomPP range
at_ease: A ac; idiomPP
at_fault: A ac; idiomPP pred
at_gunpoint: A ac; idiomPP
at_half-mast: A ac; idiomPP
at_half-staff: A ac; idiomPP
at_hand: A ac; idiomPP
at_heart: ; RB idiomPP
at_issue: A ac; idiomPP
at_knifepoint: A ac; idiomPP
at_leisure: A ac; idiomPP
at_liberty: A ac; idiomPP
at_loggerheads: A ac; idiomPP
at_odds: A ac; idiomPP pred
at_peace: A ac; idiomPP pred
at_rest: A ac; idiomPP pred
at_times: ; RB freq idiomPP
ataractic_drug: N nc; prod
athletic_sock: N nc; tool
athletic_wear: N nc; tool
atkins_diet: N nc; treatment
atlantic_croaker: N
atom_bomb: N nc; tool
atom_smasher: N nc; tool
atomic_bomb: N nc; tool
atomic_clock: N nc; prod tool
atrial_artery: N nc; bodyPart
atriopulmonary_connection: N nc; treatment
atrioventricular_valve: N nc; bodyPart
attache_case: N nc; tool
attack_aircraft: N nc; tool
attack_submarine: N nc; tool
attorney_general: NN NNP nc; job
