'bout:: P; about content 'about' /about/
absolving:: Ving; VNPPP chgIsa vt 'absolve' /absolve/
absorbed:: Ved behavior past topN3; vc VNPPP lessC metabolize mkOwnKnowledge vt 'absorb' /absorb/
absorbers:: NNS; nc prod 'absorber' /absorber/
absorbing:: Ving good; vc VNPPP lessC metabolize mkOwnKnowledge vt 'absorb' /absorb/
absorbs:: VBZ; VNPPP lessC metabolize mkOwnKnowledge vt 'absorb' /absorb/
absorptions:: NNS; nc VerbNom 'absorption' /absorption/
absquatulates:: VBZ; vc VA v 'absquatulate' /absquatulate/
abstained:: NN Ven count nc past per; VNG VPNGsc VPP causeNotDo give vi 'abstain' /abstain/
abstaining:: Ving; VNG VPNGsc VPP causeNotDo give vi 'abstain' /abstain/
abstains:: VBZ; vc VNG VPNGsc VPP causeNotDo give vi 'abstain' /abstain/
abstemiously:: RB; ac behavior 'abstemious' /abstemious/
abstentions:: NNS; nc VerbNom 'abstention' /abstention/
abstracted:: NN Ven content job nc past; VNPPP abstract count vt 'abstract' /abstract/
abstractedly:: RB Ved; ac VNPPP abstract count vt 'abstracted' /abstracted/
abstracting:: Ving; VNPPP abstract count vt 'abstract' /abstract/
abstractionists:: NNS; nc per 'abstractionist' /abstractionist/
abstractions:: NNS; nc VerbNom mental 'abstraction' /abstraction/
abstractly:: RB; ac VNPPP abstract count vt 'abstract' /abstract/
abstractors:: NNS; nc job 'abstractor' /abstractor/
abstracts:: N V Xs topN3; VNPPP abstract count vt 'abstract' /abstract/
abstrusely:: RB; ac content 'abstruse' /abstruse/
abstrusenesses:: NNS Xs; nc 'abstrusenesse' /abstrusenesse/
absurdities:: NNS Xs; nc abstract content 'absurdity' /absurdity/
absurdly:: A ac ly; ATH AitPPforTO abstract content curse kind 'absurd' /absurd/
abundacies:: NN; nc quant 'abundance' /abundance/
abundancies:: NN; nc quant 'abundance' /abundance/
abundantly:: ac ly; APP quant situation up 'abundant' /abundant/
abused:: A Ved ac annoy count nc negAdj past; vc VerbNom aggravateW troubleW vt 'abuse' /abuse/
abusers:: NNS; nc count per 'abuser' /abuser/
abuses:: N V Xs ; VerbNom aggravateW troubleW vt 'abuse' /abuse/
abusing:: Ving; VerbNom aggravateW troubleW vt 'abuse' /abuse/
abusively:: ac down ly; APP troubleW 'abusive' /abusive/
abutments:: NNS; nc VerbNom component 'abutment' /abutment/
abuts:: VBZ; vc VIrecip VPP tie 'abut' /abut/
abutted:: NN Ven nc past per; VIrecip VPP tie 'abut' /abut/
abutting:: Ving; VI VIrecip VPP tie vt 'abut' /abut/
abutts:: VBZ; vc VIrecip VPP tie 'abut' /abut/
abying:: Ving; resume 'aby' /aby/
abysmally:: ac down ly; ATH AitPPforTOomit curse emph passion 'abysmal' /abysmal/
abysses:: NNS Xs; nc 'abysse' /abysse/
ac&r:: NNP NE; com  
