tear_duct:N nc bodyPartN perF
tear_ducts:NNS plu nc bodyPartN perF 'tear_duct'
eye_lash:N nc bodyPartN perF
eye_lashes:NNS plu nc bodyPartN perF 'eye_lash'
#1_rated: A ac; 
'emselves: ;PRP reflexive 
aluminium_foils: NNS nc;prod 'aluminium_foil' 
aluminum_foils: NNS nc;prod 'aluminum_foil' 
aluminum_overload: NN nc; 
aluminum_overloads: NN NNS nc;Xs n plu 'aluminum_overload' 
alveolar_resorption: NN nc; 
amebic_dysentery: NN nc; 
amelogenesis_imperfecta: NN nc; 
amfotericin_B: NN nc; 
amici_curiae: NNS nc;Xs plu 
aminopeptidase_A: NN nc; 
aminopeptidase_B: NN nc; 
aminopeptidase_C: NN nc; 
aminopeptidase_I: NN nc; 
aminopeptidase_P: NN nc; 
ammunition_chests: NNS nc;tool 'ammunition_chest' 
amoebic_dysentery: NN nc; 
amphotericin_B: NN nc; 
amyloid_A: NN nc; 
amyloid_AA: NN nc; 
amyloid_P: NN nc; 
an'_all: ;RB 
anal_complaint: NN nc; 
anal_complaints: NN NNS nc;Xs n plu 'anal_complaint' 
analog_watches: NNS nc;Xs plu 'analog_watche' 
analytical_balances: NNS nc;tool 'analytical_balance' 
anaphylactic_shock: NN nc; 
anaphylactic_shocks: NN NNS nc;Xs n plu 'anaphylactic_shock' 
anastomosis_dehiscence: NN nc; 
anastomosis_leakage: NN nc; 
anastomosis_leakages: NN NNS nc;Xs n plu 'anastomosis_leakage' 
and_I_mean: RP;RB sRB 
and_so_forth: ;RB 
and_so_on: ;RB 
anemic_anoxia: NN nc; 
aneurysm_clip: NN nc; 
aneurysm_clips: NN NNS nc;Xs n plu 'aneurysm_clip' 
angina_pectoris: NN nc; 
angioid_streak: NN nc; 
angioid_streaks: NN NNS nc;Xs n plu 'angioid_streak' 
angiotensin_I: NN nc; 
angiotensin_II: NN nc; 
angiotensin_III: NN nc; 
angiotensin_IV: NN nc; 
animal_lameness: NN nc; 
animal_rights: NN NNS nc sgPlu;Xs plu 


ankle_instability: NN nc; 
ankle_sprain: NN nc; 
ankle_sprains: NN NNS nc;Xs n plu 'ankle_sprain' 
annexin_A1: NN nc; 
annexin_A11: NN nc; 
annexin_A2: NN nc; 
annexin_A3: NN nc; 
annexin_A4: NN nc; 
annexin_A5: NN nc; 
annexin_A6: NN nc; 
annexin_A7: NN nc; 
annexin_A8: NN nc; 
annexin_I: NN nc; 
annexin_II: NN nc; 
annexin_III: NN nc; 
annexin_IV: NN nc; 
annexin_V: NN nc; 
annexin_VI: NN nc; 
annexin_VII: NN nc; 
anno_Domini: ;RB 
annular_pancreas: NN nc; 
anoxic_anoxia: NN nc; 
answered_back: Ved Ven past vc; 
answering_back: Ving; 
answers_back: vc;VBZ 
ante_meridiem: ;RB 
ante_up: VB vc; 
anted_up: vc;Ven past 
anteed_up: vc;Ven past 
anteing_up: Ving; 
antes_up: vc;VBZ 
anteverted_nostril: NN nc; 
anteverted_nostrils: NN NNS nc;Xs n plu 'anteverted_nostril' 
anti-G_suit: NN nc; 
anti-G_suits: N nc;Xs plu 
anti-sway_bars: NNS nc;Xs plu 
anti-virus_programs: NNS nc;Xs plu 
anti_inflammatories: NNS nc;Xs plu 'anti_inflammatorie' 
anti_inflammatory: NN nc; 
anticipatory_nausea_and_vomiting: NN nc; 
antimycin_A: NN nc; 
antistreptolysin_O: NN nc; 
any_longer: ;RB 
any_more: ;RB 
anywhere_else: ;RB 
ao_dais: NNS nc;tool 'ao_dai' 
aorta_arch_interruption: NN nc; 
aorta_arch_interruptions: NN NNS nc;Xs n plu 'aorta_arch_interruption' 
aorta_coarctation: NN nc; 
aorta_coarctations: NN NNS nc;Xs n plu 'aorta_coarctation' 
aorta_constriction: NN nc; 
aorta_constrictions: NN NNS nc;Xs n plu 'aorta_constriction' 
aorta_dissection: NN nc; 
aorta_dissections: NN NNS nc;Xs n plu 'aorta_dissection' 
aortic_valves: NN nc; 
apolipoprotein_A: NN nc; 
apolipoprotein_A-I: NN nc; 
apolipoprotein_A-II: NN nc; 
apolipoprotein_A-IV: NN nc; 
apolipoprotein_A-V: NN nc; 
