#1-rated: /top-rated/  A ac; good hyphenated
'em: /them/  PRP 'them'
'emselves: /themselves/  PRP reflexive 'themselves'
'fore: /before/  P SC
'tween: /between/  RB P
2-dimensional: /2-dimensional/  A ac; hyphenated
adenomyomata: /adenomyomata/  NNS Xs nc;
adenomyomatosis: /adenomyomatosis/  NN nc;
adenomyosarcoma: /adenomyosarcoma/  NN nc;
adenomyosarcomata: /adenomyosarcomata/  NNS Xs nc;
adenomyosis: /adenomyosis/  NN nc;
adenomyxosarcoma: /adenomyxosarcoma/  NN nc;
adenomyxosarcomata: /adenomyxosarcomata/  NNS Xs nc;
adenopathy: /adenopathy/  NN nc;
adenosarcoma: /adenosarcoma/  NN nc;
adenosarcomata: /adenosarcomata/  NNS Xs nc;
adenosclerosis: /adenosclerosis/  NN nc;
adermin: /adermin/  NN nc;
adhesin: /adhesin/  NN nc;
adhesio: /adhesio/  NN nc;
adhesiolysis: /adhesiolysis/  NN nc;
adhesiveness: /adhesiveness/  NN nc;
adiabatic: /adiabatic/  A ac;
adiaspiromycosis: /adiaspiromycosis/  NN nc;
adience: /adience/  NN nc;
adient: /adient/  A ac;
adieux: /adieux/  NNS Xs nc;
adipate: /adipate/  NN nc;
adipic: /adipic/  A ac;
adipocyte: /adipocyte/  NN nc;
adipocytokine: /adipocytokine/  NN nc;
adipofibroma: /adipofibroma/  NN nc;
adipofibromata: /adipofibromata/  NNS Xs nc;
adipogenesis: /adipogenesis/  NN nc;
adipokine: /adipokine/  NN nc;
adiponecrosis: /adiponecrosis/  NN nc;
adiponectin: /adiponectin/  NN nc;
adipose: /adipose/  A ac;
adiposeness: /adiposeness/  NN nc;
adiposis: /adiposis/  NN nc;
adiposity: /adiposity/  NN nc;
adipsia: /adipsia/  NN nc;
adit: /adit/  NN nc;
aditus: /aditus/  NN NNS nc; sgPlu 
adjectival: /adjectival/  A ac;
adjudicatory: /adjudicatory/  A ac;
adjunction: /adjunction/  NN nc;
adjunctive: /adjunctive/  A NN ac;
adjuratory: /adjuratory/  A ac;
adjustable-rate: /adjustable-rate/  A ac; hyphenated

adjustablerate: /adjustablerate/  NN nc;
adjustive: /adjustive/  A ac;
admass: /admass/  NN nc;
admen: /admen/  NNS Xs nc;
adminicula: /adminicula/  NNS Xs nc;
adminiculum: /adminiculum/  NN nc;
administrable: /administrable/  A ac;
administratrix: /administratrix/  NN nc;
administrivia: /administrivia/  NN nc;
admittee: /admittee/  NN nc;
admittible: /admittible/  A ac;
adn: /adn/  ; CC vac
adnate: /adnate/  A ac;
adnexa: /adnexa/  NN NNS nc; sgPlu 
adnexal: /adnexal/  A ac;
adnoun: /adnoun/  NN nc;
adobo: /adobo/  NN nc;
adolescaria: /adolescaria/  NN nc;
adolescariae: /adolescariae/  NNS Xs nc;
adolesce: /adolesce/  VB vc; vt
adoption-assistance: /adoption-assistance/  A ac; hyphenated
adoption-business: /adoption-business/  NN nc; hyphenated
adoral: /adoral/  A ac;
adpressed: /adpressed/  A ac;
adrenarche: /adrenarche/  NN nc;
adrenergic: /adrenergic/  A NN;
adreno-cortex: /adreno-cortex/  NN nc; hyphenated
adreno-cortices: /adreno-cortices/  NNS Xs nc; hyphenated
