20-20_technology:: NNP NE;com '20-20_technologies' 
advanced_fertilizer_tech:: NNP NE;com 'advanced_fertilizing_technology' 
advanced_fertilizer_technologies:: NNP NE;com 'advanced_fertilizing_technology' 
advanced_fertilizer_technology:: NNP NE;com 'advanced_fertilizing_technology' 
advanced_fertilizing:: NNP NE;com 'advanced_fertilizing_technology' 
advanced_fertilizing_tech:: NNP NE;com 'advanced_fertilizing_technology' 
advanced_fertilizing_technologies:: NNP NE;com 'advanced_fertilizing_technology' 
advanced_immune_chemical:: NNP NE;com 'advanced_immunochemical' 
advanced_immune_chemicals:: NNP NE;com 'advanced_immunochemical' 
advanced_immuno-chemical:: NNP NE;com 'advanced_immunochemical' 
advanced_immuno-chemicals:: NNP NE;com 'advanced_immunochemical' 
advanced_immuno_chemical:: NNP NE;com 'advanced_immunochemical' 
advanced_immuno_chemicals:: NNP NE;com 'advanced_immunochemical' 
advanced_immunochem:: NNP NE;com 'advanced_immunochemical' 
advanced_immunochemicals:: NNP NE;com 'advanced_immunochemical' 
advanced_international:: NNP NE;com 'advanced_international_technology' 
advanced_international_tech:: NNP NE;com 'advanced_international_technology' 
advanced_international_technologies:: NNP NE;com 'advanced_international_technology' 
advanced_medical:: NNP NE;com 'advanced_medical_technology' 
advanced_medical_tech:: NNP NE;com 'advanced_medical_technology' 
advanced_medical_technologies:: NNP NE;com 'advanced_medical_technology' 
advanced_metrology_systems:: NNP NE;com 'philips' 
advanced_micro:: NNP NE;com 'advanced_micro_devices' 
advanced_photonic:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonic_tech:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonic_tech_group:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonic_technologies:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonic_technologies_group:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonic_technology:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonic_technology_group:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonics:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonics_group:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonics_tech:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonics_tech_group:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonics_technologies_group:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonics_technology:: NNP NE;com 'advanced_photonics_technologies' 
advanced_photonics_technology_group:: NNP NE;com 'advanced_photonics_technologies' 
advanced_research:: NNP NE;com 'art_advanced_research_technologies' 
advanced_research_technologies:: NNP NE;com 'art_advanced_research_technologies' 
advanced_research_technology:: NNP NE;com 'art_advanced_research_technologies' 
advanced_rotorcraft:: NNP NE;com 'advanced_rotorcraft_technology' 
advanced_rotorcraft_tech:: NNP NE;com 'advanced_rotorcraft_technology' 
advanced_rotorcraft_technologies:: NNP NE;com 'advanced_rotorcraft_technology' 
advanced_simulation:: NNP NE;com 'advanced_simulation_technology' 
advanced_simulation_tech:: NNP NE;com 'advanced_simulation_technology' 
